t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00, 5.000000000000000000e+01, 1.050485348471220419e+02, -1.498697759691388853e+02, 9.482124112201684341e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.080000000000000071e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.000000000000000000e+00, 5.000000000000001421e+01, 1.053202120924163268e+02, -1.411550936033801236e+02, 8.583488151096381102e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.073999999999999844e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.000000000000000000e+00, 5.000000000000000000e+01, 1.051843734697691843e+02, -1.325399465052722405e+02, 7.735557303550305619e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.076999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.000000000000000000e+00, 5.000000000000000000e+01, 1.062258029100639334e+02, -1.269902460869183187e+02, 7.076444317685438534e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.053999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.000000000000000000e+00, 4.999999999999999289e+01, 1.051843734697691843e+02, -1.181193083252564975e+02, 6.293493485548730604e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.076999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.000000000000000000e+00, 5.000000000000000000e+01, 1.049126962244748995e+02, -1.114751972435926746e+02, 5.656250101911777506e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.082999999999999829e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.000000000000000000e+00, 5.000000000000000000e+01, 1.051843734697691843e+02, -1.064853014553359003e+02, 5.130092798556671596e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.076999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.000000000000000000e+00, 4.999999999999999289e+01, 1.049126962244748995e+02, -1.009738516300306799e+02, 4.606115540555577326e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.082999999999999829e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
8.000000000000000000e+00, 5.000000000000000000e+01, 1.063616415327110616e+02, -9.924626359878634219e+01, 4.288462206607528060e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.051000000000000156e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
9.000000000000000000e+00, 5.000000000000000000e+01, 1.070861141868291355e+02, -9.644952360128812074e+01, 3.936340941445898522e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.035000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
