tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,-1.449999999999995737e-02
2.000000000000000000e+00,1.000000000000000000e+00,-1.524999999999998579e-02
3.000000000000000000e+00,1.000000000000000000e+00,-3.250000000000064036e-03
4.000000000000000000e+00,1.000000000000000000e+00,-1.375000000000010589e-02
5.000000000000000000e+00,1.000000000000000000e+00,2.500000000000035614e-03
6.000000000000000000e+00,1.000000000000000000e+00,1.775000000000002270e-02
7.000000000000000000e+00,1.000000000000000000e+00,-2.500000000000035614e-03
8.000000000000000000e+00,1.000000000000000000e+00,1.199999999999992219e-02
9.000000000000000000e+00,1.000000000000000000e+00,-1.500000000000056843e-03
1.000000000000000000e+01,1.000000000000000000e+00,-9.750000000000013864e-03
1.100000000000000000e+01,1.000000000000000000e+00,3.699999999999992184e-02
1.200000000000000000e+01,1.000000000000000000e+00,-2.500000000000035614e-03
1.300000000000000000e+01,1.000000000000000000e+00,-1.375000000000010589e-02
1.400000000000000000e+01,1.000000000000000000e+00,1.750000000000007192e-03
1.500000000000000000e+01,1.000000000000000000e+00,-1.600000000000001421e-02
1.600000000000000000e+01,1.000000000000000000e+00,2.500000000000035614e-03
1.700000000000000000e+01,1.000000000000000000e+00,-7.249999999999978684e-03
1.800000000000000000e+01,1.000000000000000000e+00,2.500000000000035614e-03
1.900000000000000000e+01,1.000000000000000000e+00,2.500000000000035614e-03
2.000000000000000000e+01,1.000000000000000000e+00,1.374999999999992895e-02
2.100000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.200000000000000000e+01,1.000000000000000000e+00,6.499999999999950262e-03
2.300000000000000000e+01,1.000000000000000000e+00,1.050000000000004229e-02
2.400000000000000000e+01,1.000000000000000000e+00,3.999999999999915082e-03
2.500000000000000000e+01,1.000000000000000000e+00,1.124999999999989377e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.124999999999989377e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.050000000000004229e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.624999999999996586e-02
2.900000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
3.000000000000000000e+01,1.000000000000000000e+00,1.699999999999999428e-02
3.100000000000000000e+01,1.000000000000000000e+00,2.099999999999990763e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.849999999999987071e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.024999999999987921e-02
3.400000000000000000e+01,1.000000000000000000e+00,1.849999999999987071e-02
3.500000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
