t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00, 5.000000000000001421e+01, 1.016978488218259145e+02, -1.434946193218473809e+02, 9.179677050002148064e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.153999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.000000000000000000e+00, 5.000000000000000000e+01, 1.016978488218259145e+02, -1.345574881539916703e+02, 8.285963933216575583e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.153999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.000000000000000000e+00, 5.000000000000000000e+01, 1.016978488218259145e+02, -1.264904563706392366e+02, 7.479260754881332218e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.153999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.000000000000000000e+00, 5.000000000000000000e+01, 1.032826327527092047e+02, -1.222240898068853170e+02, 6.894145705417611225e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.119000000000000128e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.000000000000000000e+00, 5.000000000000000000e+01, 1.016978488218259145e+02, -1.124968247684723082e+02, 6.079897594664639371e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.153999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.000000000000000000e+00, 4.999999999999999289e+01, 1.016978488218259145e+02, -1.065775705294971374e+02, 5.487972170767121582e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.153999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.000000000000000000e+00, 5.000000000000000000e+01, 1.016978488218259145e+02, -1.012346018315214025e+02, 4.953675300969548800e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.153999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
7.000000000000000000e+00, 4.999999999999999289e+01, 1.021053646897673275e+02, -9.718716967449429944e+01, 4.508180498472696485e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.144999999999999929e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
8.000000000000000000e+00, 5.000000000000000000e+01, 1.015167306582963960e+02, -9.167814459311804853e+01, 4.016141393482165256e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.157999999999999829e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
9.000000000000000000e+00, 5.000000000000000000e+01, 1.024223214759439884e+02, -8.949113319673479339e+01, 3.706881172079080500e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.137999999999999901e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.000000000000000000e+01, 5.000000000000000000e+01, 1.025581600985911166e+02, -8.614064771928451592e+01, 3.358248762069339932e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.135000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.100000000000000000e+01, 5.000000000000000000e+01, 1.016978488218259145e+02, -8.123426622793478202e+01, 2.953641740610887112e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.153999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.200000000000000000e+01, 5.000000000000000711e+01, 1.015167306582963960e+02, -7.801406269382104597e+01, 2.649733203552465710e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.157999999999999829e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.300000000000000000e+01, 5.000000000000000000e+01, 1.018336874444730427e+02, -7.603739623087500377e+01, 2.420370878640195755e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.151000000000000156e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.400000000000000000e+01, 5.000000000000000000e+01, 1.013808920356492393e+02, -7.281946885655359836e+01, 2.143857682090435901e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.160999999999999943e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.500000000000000000e+01, 5.000000000000000000e+01, 1.026939987212382732e+02, -7.323062848804673308e+01, 2.053662976680845986e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.132000000000000028e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.600000000000000000e+01, 5.000000000000000000e+01, 1.028298373438854156e+02, -7.148967979286882723e+01, 1.865984244898341160e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.128999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.700000000000000000e+01, 5.000000000000000000e+01, 1.002036239727073479e+02, -6.467625427697677765e+01, 1.447263030426942976e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.187000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
1.800000000000000000e+01, 5.000000000000000000e+01, 1.002036239727073479e+02, -6.326723090209553391e+01, 1.306360692938818246e+01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.187000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
