t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,3.846000000000000085e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,3.827000000000000313e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,3.865999999999999659e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,3.861999999999999744e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,3.846000000000000085e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,3.861999999999999744e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,3.827000000000000313e+01,3.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,3.861999999999999744e+01,3.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,3.842999999999999972e+01,3.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,3.861999999999999744e+01,3.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,3.859000000000000341e+01,3.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,3.861999999999999744e+01,3.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,3.871999999999999886e+01,7.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,3.861999999999999744e+01,7.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,3.861999999999999744e+01,7.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,3.839999999999999858e+01,7.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,3.865999999999999659e+01,7.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,3.865999999999999659e+01,7.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,3.882000000000000028e+01,7.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,3.865999999999999659e+01,7.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,3.885000000000000142e+01,7.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,3.882000000000000028e+01,7.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,3.856000000000000227e+01,7.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,3.885000000000000142e+01,7.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,3.871999999999999886e+01,7.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,3.829999999999999716e+01,7.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,3.890999999999999659e+01,7.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,3.888000000000000256e+01,7.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,3.885000000000000142e+01,7.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,3.895000000000000284e+01,7.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,3.895000000000000284e+01,7.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,3.890999999999999659e+01,7.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,3.895000000000000284e+01,7.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,3.853000000000000114e+01,7.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,3.895000000000000284e+01,7.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,3.861999999999999744e+01,7.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,3.895000000000000284e+01,7.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,3.868999999999999773e+01,7.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,3.897999999999999687e+01,7.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,3.865999999999999659e+01,7.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,3.875000000000000000e+01,7.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,3.888000000000000256e+01,7.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,3.914000000000000057e+01,7.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,3.900999999999999801e+01,7.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,3.939999999999999858e+01,7.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,3.903999999999999915e+01,7.000000000000000000e+01
